horizontal_flip {'p': 0}
Round: 200 f1_score: 0.3252361673414305
Round: 200 average_Acc_f1: 0.4036180836707153


Round: 500 Accuracy: 0.482
Round: 500 f1_score: 0.3252361673414305
Round: 500 average_Acc_f1: 0.4036180836707153


Round: 1000 Accuracy: 0.482
Round: 1000 f1_score: 0.3252361673414305
Round: 1000 average_Acc_f1: 0.4036180836707153


-------------------------------------------------------------------------------------
seed: 42, noise_scale: 1.5
Round: 1 Accuracy: 0.518
Round: 1 f1_score: 0.3412384716732543
Round: 1 average_Acc_f1: 0.42961923583662714


Round: 2 Accuracy: 0.518
Round: 2 f1_score: 0.3412384716732543
Round: 2 average_Acc_f1: 0.42961923583662714


Round: 5 Accuracy: 0.712
Round: 5 f1_score: 0.7119815668202765
Round: 5 average_Acc_f1: 0.7119907834101382


Round: 10 Accuracy: 0.706
Round: 10 f1_score: 0.6995966011501159
Round: 10 average_Acc_f1: 0.702798300575058


Round: 20 Accuracy: 0.752
Round: 20 f1_score: 0.7483766233766234
Round: 20 average_Acc_f1: 0.7501883116883117


Round: 50 Accuracy: 0.482
Round: 50 f1_score: 0.3252361673414305
Round: 50 average_Acc_f1: 0.4036180836707153


Round: 100 Accuracy: 0.482
Round: 100 f1_score: 0.3252361673414305
Round: 100 average_Acc_f1: 0.4036180836707153


Round: 200 Accuracy: 0.482
Round: 200 f1_score: 0.3252361673414305
Round: 200 average_Acc_f1: 0.4036180836707153


Round: 500 Accuracy: 0.482
Round: 500 f1_score: 0.3252361673414305
Round: 500 average_Acc_f1: 0.4036180836707153


Round: 1000 Accuracy: 0.482
Round: 1000 f1_score: 0.33513027852650495
Round: 1000 average_Acc_f1: 0.40856513926325244


seed: 43, noise_scale: 1.5
Round: 1 Accuracy: 0.518
Round: 1 f1_score: 0.3412384716732543
Round: 1 average_Acc_f1: 0.42961923583662714


Round: 2 Accuracy: 0.538
Round: 2 f1_score: 0.39202526648243186
Round: 2 average_Acc_f1: 0.46501263324121594


Round: 5 Accuracy: 0.724
Round: 5 f1_score: 0.7239823348694316
Round: 5 average_Acc_f1: 0.7239911674347158


Round: 10 Accuracy: 0.722
Round: 10 f1_score: 0.7209272443271937
Round: 10 average_Acc_f1: 0.7214636221635968


Round: 20 Accuracy: 0.728
Round: 20 f1_score: 0.7247899499765262
Round: 20 average_Acc_f1: 0.7263949749882631


Round: 50 Accuracy: 0.482
Round: 50 f1_score: 0.3252361673414305
Round: 50 average_Acc_f1: 0.4036180836707153


Round: 100 Accuracy: 0.482
Round: 100 f1_score: 0.3252361673414305
Round: 100 average_Acc_f1: 0.4036180836707153


Round: 200 Accuracy: 0.482
Round: 200 f1_score: 0.3252361673414305
